model_name,fid,val_loss,val_recon,val_kl,disc_train_loss,disc_val_loss,disc_test_accuracy
cvae_conv_iclr_real_500,155.246610,121.077746,96.682074,24.395673,NaN,NaN,NaN
cvae_labelsmoothed_q0.1_D50K_iter1_50000,149.99954223632812,115.42388109130859,92.13625988769532,23.287621133422853,0.12078700542449951,0.14570342662334443,0.99085
cvae_labelsmoothed_q0.1_D50K_iter2_100000,92.60901641845703,113.64124490966798,90.12452375488282,23.516721255493163,0.1200787223815918,0.1420127839207649,0.9868
cvae_labelsmoothed_q0.1_D50K_iter3_150000,93.68779754638672,113.83132106933594,90.22219636230469,23.609124786376952,0.12132078804175059,0.15133649804592134,0.9859
cvae_labelsmoothed_q0.1_D50K_iter4_200000,83.69879150390625,112.92371713867188,89.42094537353516,23.50277201538086,0.1217149267911911,0.1509981034755707,0.98835
cvae_labelsmoothed_q0.1_D50K_iter5_250000,76.96452331542969,112.10703327636719,88.57841030273437,23.52862280578613,0.12061518148581186,0.14713251719474793,0.9892
cvae_labelsmoothed_q0.1_D50K_iter6_300000,69.40304565429688,111.119216796875,87.26924555664063,23.84997109375,0.12411977982521057,0.15037059726715088,0.9871
cvae_labelsmoothed_q0.1_D50K_iter7_350000,67.4716567993164,111.26586116943359,87.21669970703125,24.049161434936522,0.12238067444165547,0.15490944361686707,0.98115
cvae_labelsmoothed_q0.1_D50K_iter8_400000,64.9874038696289,110.85406794433594,87.26306666259765,23.591001525878905,0.1234674245039622,0.15462120113372801,0.97975
cvae_labelsmoothed_q0.1_D50K_iter9_450000,62.73134994506836,110.32301947021485,86.4368646484375,23.88615389404297,0.1235152351419131,0.16571634129285812,0.98185
cvae_labelsmoothed_q0.1_D50K_iter10_500000,58.671875,110.33805072021484,86.60250883789062,23.735542056274415,0.12388440307776133,0.1555397256374359,0.9811
cvae_labelsmoothed_q0.1_D50K_iter11_550000,55.002262115478516,110.25975444335937,85.81015727539062,24.449597198486327,0.12317662551403046,0.16334488508701325,0.98
cvae_labelsmoothed_q0.1_D50K_iter12_600000,50.36647033691406,109.95311755371094,85.97305150146484,23.980066119384766,0.12531297154426574,0.18115334873199462,0.9755
cvae_labelsmoothed_q0.1_D50K_iter13_650000,47.22846984863281,110.20985302734375,85.98069289550781,24.229160525512697,0.12726519745985668,0.1747831289768219,0.96605
cvae_labelsmoothed_q0.1_D50K_iter14_700000,45.691688537597656,110.38766845703125,86.18619851074219,24.201470193481445,0.12399920661449432,0.18210448219776154,0.9714
cvae_labelsmoothed_q0.1_D50K_iter15_750000,42.228092193603516,110.77142956542968,86.79280119628906,23.978629125976564,0.12985600748856863,0.18644980602264405,0.9685
cvae_labelsmoothed_q0.1_D50K_iter16_800000,38.47633743286133,110.37778400878906,86.5107571899414,23.867026571655273,0.12948810215791068,0.20150786216259003,0.96775
cvae_labelsmoothed_q0.1_D50K_iter17_850000,36.198734283447266,110.38030344238281,86.399897265625,23.980406298828125,0.1324182831843694,0.20351835374832153,0.96445
cvae_labelsmoothed_q0.1_D50K_iter18_900000,33.39216613769531,110.48067302246093,86.49320952148437,23.987463482666016,0.12745018343925477,0.20179843425750732,0.9651
cvae_labelsmoothed_q0.1_D50K_iter19_950000,30.582561492919922,110.35670889892579,86.45035535888672,23.9063537109375,0.13428481171131135,0.21484713921546936,0.95695
cvae_labelsmoothed_q0.1_D50K_iter20_1000000,29.1287784576416,110.46659052734375,86.556157421875,23.91043313293457,0.13331085917949675,0.22262516038417815,0.9536
cvae_labelsmoothed_q0.1_D50K_iter21_1050000,27.97914695739746,110.507539453125,86.88912476806641,23.618414678955077,0.13599695303440093,0.2378448233127594,0.94525
cvae_labelsmoothed_q0.1_D50K_iter22_1100000,28.343740463256836,110.41606434326172,86.76100390625,23.655060360717773,0.13452327082951865,0.2482412924051285,0.94385
cvae_labelsmoothed_q0.1_D50K_iter23_1150000,26.896902084350586,110.76937622070312,87.21405078125,23.55532554321289,0.13249914508660635,0.24981909470558167,0.9422
cvae_labelsmoothed_q0.1_D50K_iter24_1200000,26.549089431762695,111.64557817382813,87.89693148193359,23.74864620666504,0.13783548800945283,0.2600574392080307,0.93215
cvae_labelsmoothed_q0.1_D50K_iter25_1250000,26.968252182006836,111.63357108154297,88.14106171875,23.492509292602538,0.1309503869454066,0.26573843746185305,0.94055
cvae_labelsmoothed_q0.1_D50K_iter26_1300000,24.809471130371094,111.90499223632813,88.41100114746094,23.493991021728515,0.14366639115015667,0.2785583436489105,0.93305
cvae_labelsmoothed_q0.1_D50K_iter27_1350000,25.009973526000977,111.87954096679688,88.43188510742188,23.447655853271485,0.13709378915627798,0.26721138391494753,0.9317
cvae_labelsmoothed_q0.1_D50K_iter28_1400000,23.782602310180664,111.64961508789062,88.66913640136718,22.980478759765624,0.13833674280643463,0.28613598585128786,0.9305
cvae_labelsmoothed_q0.1_D50K_iter29_1450000,24.789064407348633,112.70066518554688,89.3617783569336,23.338886968994142,0.1310587828119596,0.2838927399396896,0.9288
cvae_labelsmoothed_q0.1_D50K_iter30_1500000,23.892993927001953,112.10361965332031,89.07714348144532,23.026476251220704,0.13757019958496094,0.30344134612083434,0.9287
cvae_labelsmoothed_q0.1_D50K_iter31_1550000,23.8491268157959,112.09150272216797,88.80903048095703,23.282472366333007,0.13940203484694164,0.3080689898967743,0.92135
cvae_labelsmoothed_q0.1_D50K_iter32_1600000,23.72052574157715,111.7112757446289,88.86640025634766,22.84487565612793,0.1479676829735438,0.33715257794857023,0.9123
cvae_labelsmoothed_q0.1_D50K_iter33_1650000,23.80860137939453,111.74896170654297,88.79456529541015,22.954396481323244,0.14173269488811494,0.3262383969783783,0.9148
cvae_labelsmoothed_q0.1_D50K_iter34_1700000,23.186988830566406,111.48052076416016,88.838870703125,22.641650354003907,0.14474385836919149,0.31029114780426026,0.9143
cvae_labelsmoothed_q0.1_D50K_iter35_1750000,22.77401351928711,111.49564328613282,89.08719880371093,22.40844457397461,0.14193954814275106,0.32513715443611146,0.9179
cvae_labelsmoothed_q0.1_D50K_iter36_1800000,23.06441879272461,111.29566276855469,88.69474091796874,22.600921533203124,0.14364550861120223,0.32932311325073244,0.8992
cvae_labelsmoothed_q0.1_D50K_iter37_1850000,21.104137420654297,111.08771343994141,88.8292720703125,22.258441690063478,0.14187349251111347,0.3165610767364502,0.91055
cvae_labelsmoothed_q0.1_D50K_iter38_1900000,21.924259185791016,111.01814174804687,88.69427570800781,22.323865771484375,0.14718726021448772,0.32957436265945433,0.9066
cvae_labelsmoothed_q0.1_D50K_iter39_1950000,21.31235694885254,111.12873056640625,88.5879951171875,22.54073525390625,0.14693166864713034,0.3445865789413452,0.9073
cvae_labelsmoothed_q0.1_D50K_iter40_2000000,22.403011322021484,110.712256640625,88.24630251464843,22.465953643798827,0.1434157209078471,0.3471377902984619,0.9053
cvae_labelsmoothed_q0.1_D50K_iter41_2050000,21.496395111083984,110.57134555664062,88.549979296875,22.021366577148438,0.1471001135110855,0.35380676929950716,0.90375
cvae_labelsmoothed_q0.1_D50K_iter42_2100000,22.083757400512695,110.96037113037109,88.4709022705078,22.489469180297853,0.1402578012506167,0.3384068380832672,0.9054
cvae_labelsmoothed_q0.1_D50K_iter43_2150000,21.88249397277832,110.90471013183594,88.63366040039062,22.27104923706055,0.15278109612464905,0.3649738694190979,0.9026
cvae_labelsmoothed_q0.1_D50K_iter44_2200000,20.966487884521484,111.38377479248047,88.84586030273438,22.53791424255371,0.14521568384170533,0.3476260278701782,0.8933
cvae_labelsmoothed_q0.1_D50K_iter45_2250000,21.205642700195312,111.49243232421875,89.43401638183593,22.058415896606444,0.1457030793150266,0.3415525639057159,0.9019
cvae_labelsmoothed_q0.1_D50K_iter46_2300000,21.478317260742188,111.14406176757812,88.74716225585938,22.396898754882812,0.14593529233137767,0.352388201379776,0.8955
cvae_labelsmoothed_q0.1_D50K_iter47_2350000,20.409353256225586,110.76321104736328,88.509899609375,22.2533114654541,0.1446350870370865,0.35646032514572146,0.8937
cvae_labelsmoothed_q0.1_D50K_iter48_2400000,20.066911697387695,111.38659165039063,89.1835978515625,22.202993139648438,0.14209835764567058,0.36041474304199217,0.89975
cvae_labelsmoothed_q0.1_D50K_iter49_2450000,20.99168586730957,111.40852196044922,89.10546260986328,22.30305925292969,0.1473164350191752,0.362162224650383,0.89665
cvae_labelsmoothed_q0.1_D50K_iter50_2500000,20.66724967956543,111.26138560791016,89.1867681640625,22.074617321777342,0.14069864607652027,0.384703430223465,0.8971
